Name;email;department;position;project;task;date;logged hours
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS - 2240;2021 - 10 - 19;5
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS - 2241;2021 - 10 - 20;8
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS - 1111;2021 - 10 - 20;4
Jane Doe;jane.doe@company.com;Delivery;Manager;Venus;VNS - 1111;2021 - 10 - 20;4
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS - 2240;2021 - 10 - 19;5
John Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS - 2241;2021 - 10 - 20;8
Gary Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS - 2241;2021 - 10 - 20;8
Gary Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS - 2241;2021 - 10 - 20;8
Kolya Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS - 2241;2021 - 10 - 20;8
Kolya Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS - 2241;2021 - 11 - 20;8
Kolya Doe;john.doe@company.com;Delivery;Software Engineer;Mars;MRS - 2241;2021 - 11 - 20;3
Oleksii Mykhalchuk;ale@gmail.com;Develop;Engineer;project;task;2021 - 12 - 21;10
Oleksii Mykhalchuk;ale@gmail.com;department;position;project;task;2021 - 12 - 22;12
Oleksii Mykhalchuk;ale@gmail.com;department;position;project;task;2021 - 12 - 22;12
Oleksii Mykhalchuk;ale@gmail.com;Develop;Engineer;project;task;2021 - 12 - 21;10
oleksii mykhalchuk;ew;we;we;we;we;2021 - 12 - 1;1
oleksii mykhalchuk;we;we;we;we;we;2021 - 12 - 2;2
oleksii mykhalchuk;ew;we;we;we;we;2021 - 12 - 1;1
o m;q;q;q;q;q;2021 - 12 - 12;2
o m;a;a;a;a;a;2021 - 12 - 13;2
o m;a;a;a;a;a;2021 - 12 - 13;2
o m;q;q;q;q;q;2021 - 12 - 12;2
